FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Aigre doux,son1tiam2,甜酸
Amer,fu3,苦
Brûlant,luk6shu1,熝手
Chaud,shao1,燒
Croquant-tendre,coi4,脆
Dur à mâcher,ngiun4,肕
Épais,liu2,濃
Épicé,lat6,辣
Fade,tam1,淡
Froid,lang3,冷
Glacé,dung4,冻
Mou-tendre,lem2,腩
Parfumé,hiong1,香
Salé,ham2,咸
Savoureux,hao3shit6,好食
Soyeux,wat6,滑
Sucré,tiam2,甜
Tiède,lon1,暖
Velouté,wat6wat6,滑滑
Aigre ,son1,酸 
Coriace,ngiun4 ,肕
Dur,ngang4 ,硬
