FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
cent,yit5bak5,一百
cinq,ng3,五
deux,ngi4,二
dix,ship6,十
huit,bat5,八
mille,yit5qian1,一千
neuf,giu3,九
quatre,xi4,四
sept,qit5,七
six,luk5,六
trois,sam1,三
un,yit1,一
dix mille,wan4,一万
