FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Bague,gai3ji4,戒指
Bracelet,shu3ak5 手鈪,手镯
Chaussettes,mat5,袜子
Chaussures,hai2,鞋子
Chemise,sam1,衬衫
Collier,giang3len4,项链
Culotte,fu4zai3,内裤
Elastique à cheveux,fat5?,发皮
Montre,shu3biao3zai3,手表
Pantalon,chong2fu4,裤子
Robe,sam1?,连衣裙
Short,don3fu4,短裤
Slip,dai3fu4,内裤
Tee shirt,?,T恤衫
Vêtement,yi1fuk6,衣服
Vêtement chaud,lon3sam1,暖和的衣服
Maillot ,mi4shui3sam1汨水衫,泳衣
Vêtement de sport ,yun4tung4fuk6,运动服
