FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
Blanc,pak6,白
Bleu,lam2,蓝
Clair,chen3,浅
Coloré,yu3set5,有色
Couleur,set5,色
Foncé,qim1,深
Jaune,wong2,黄
Marron,ga1fui1set5?,咖啡色
Mauve,kio3set5,紫色
Noir,wu1,烏
Opaque,m̄ thong2？,
Orange,chang2set5,橙色
Rose,shui3fung2set5,水红色
Rouge,fung2,红
Transparent,thong2 m̄?,透明
Vert,luk6,绿
,qiang1,青
