FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Beau temps,qiang2 ten1,晴天
Jour,ngit5,日
Mauvais temps,yim1 ten1,陰天 
Nuage,yun2,云
Nuit,man3 ya4,晚夜
Orage,lok6 tai4 shui3,落大水
Pluie,lok6 shui3,雨
Soleil,ngit5 teu2,日头
Tonnerre,lui2 gung1,雷公
Vent,fung1,风
